Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1991, eco1, 0, 72.52, 5.67, 127, 260, 0, 
1992, eco1, 0, 67.36, 6.01, 0, 262, 0, 
1993, eco1, 0, 162.44, 5.88, 134, 245, 0, 
1994, eco1, 0, 66.72, 5.5, 132, 254, 0, 
1995, eco1, 0, 61.75, 5.44, 0, 260, 0, 
1996, eco1, 0, 66.72, 5.5, 132, 254, 0, 
1997, eco1, 0, 71.09, 5.51, 0, 260, 0, 
1998, eco1, 0, 61.75, 5.44, 0, 260, 0, 
1999, eco1, 0, 62.58, 5.48, 0, 236, 0, 
2000, eco1, 0, 61.4, 5.74, 125, 260, 0, 
1991, eco2, 1, 79.9, 5.03, 131, 260, 0, 
1992, eco2, 1, 66.18, 5.3, 0, 256, 0, 
1993, eco2, 1, 174.85, 5.23, 0, 239, 0, 
1994, eco2, 1, 76.08, 4.87, 0, 244, 0, 
1995, eco2, 1, 68.18, 4.77, 0, 260, 0, 
1996, eco2, 1, 76.08, 4.87, 0, 244, 0, 
1997, eco2, 1, 70.45, 4.76, 0, 253, 0, 
1998, eco2, 1, 68.18, 4.77, 0, 260, 0, 
1999, eco2, 1, 62.06, 4.78, 0, 230, 0, 
2000, eco2, 1, 58.82, 5.19, 128, 260, 0, 
1991, eco3, 2, 80.19, 4.44, 0, 260, 0, 
1992, eco3, 2, 64.92, 4.6, 0, 247, 0, 
1993, eco3, 2, 174.98, 4.61, 0, 232, 0, 
1994, eco3, 2, 78.58, 4.3, 0, 237, 0, 
1995, eco3, 2, 68.89, 4.18, 0, 251, 0, 
1996, eco3, 2, 78.58, 4.3, 0, 237, 0, 
1997, eco3, 2, 70.05, 4.01, 0, 240, 0, 
1998, eco3, 2, 68.89, 4.18, 0, 251, 0, 
1999, eco3, 2, 61.37, 4.08, 0, 230, 0, 
2000, eco3, 2, 57.49, 4.62, 131, 260, 0, 
1991, eco4, 3, 76.29, 5.02, 132, 260, 0, 
1992, eco4, 3, 68.5, 5.23, 0, 251, 0, 
1993, eco4, 3, 168.26, 5.22, 0, 236, 0, 
1994, eco4, 3, 71.5, 4.81, 0, 241, 0, 
1995, eco4, 3, 64.71, 4.75, 0, 256, 0, 
1996, eco4, 3, 71.5, 4.81, 0, 241, 0, 
1997, eco4, 3, 73.43, 4.68, 0, 248, 0, 
1998, eco4, 3, 64.71, 4.75, 0, 256, 0, 
1999, eco4, 3, 63.24, 4.69, 0, 230, 0, 
2000, eco4, 3, 61.86, 5.12, 129, 260, 0, 
1991, eco5, 4, 74.71, 5.19, 130, 260, 0, 
1992, eco5, 4, 67.21, 5.41, 0, 256, 0, 
1993, eco5, 4, 163.83, 5.39, 0, 239, 0, 
1994, eco5, 4, 70.97, 5.02, 0, 245, 0, 
1995, eco5, 4, 63.21, 4.92, 0, 260, 0, 
1996, eco5, 4, 70.97, 5.02, 0, 245, 0, 
1997, eco5, 4, 71.57, 4.86, 0, 254, 0, 
1998, eco5, 4, 63.21, 4.92, 0, 260, 0, 
1999, eco5, 4, 62.55, 4.88, 0, 231, 0, 
2000, eco5, 4, 60.03, 5.34, 127, 260, 0, 
